"Time";"Distance";"HeightIncr";"AccumIncr";"portsE";"ports1";"ports2";"ports3";"year";"week";"bef_mount";"aft_mount";"bef_tt";"aft_tt";"last";"ForecastedTime"
358,8666687011719;220,6999969482422;-930;230;0;0;0;0;3;2;0;1;1;0;0;331,0499954223633
286,75;197,1999969482422;1570;1910;0;1;0;0;3;2;0;0;0;1;0;303,3846106896034
349,25;226,1999969482422;-630;1570;0;2;0;0;3;3;1;1;0;0;0;347,999995304988
301,3666687011719;173,39999389648437;1630;3240;1;2;0;1;3;3;1;0;0;0;0;305,99998922909003
325,3166809082031;179,5;1080;2800;1;0;3;1;3;3;0;1;0;0;0;307,7142857142857
261,1666564941406;170,39999389648438;-50;1540;0;0;2;2;3;3;1;1;0;0;0;255,59999084472653
239,68333435058594;153;590;2300;0;2;0;3;3;3;0;0;0;0;0;241,57894736842104
438,9666748046875;247,8000030517578;-190;1480;0;0;0;2;3;3;0;1;1;0;0;391,2631627133018
222,46665954589844;135,5;50;510;0;0;0;2;2;1;0;0;1;1;0;193,57142857142858
372,3333435058594;205;70;370;0;0;0;0;2;1;0;0;0;1;0;300
364,1000061035156;229;340;960;0;0;0;0;2;1;0;0;0;0;0;343,5
322,6333312988281;187,5;-680;350;0;0;0;0;2;1;0;0;0;0;0;267,8571428571429
302,4666748046875;202,8000030517578;0;540;0;0;1;0;2;1;0;0;1;0;0;304,2000045776367
439,70001220703125;240,60000610351562;1700;3362;0;3;0;0;2;2;1;0;0;1;0;437,45455655184657
292,6000061035156;144;750;4216;2;3;0;0;2;2;1;1;0;0;0;278,7096774193549
315,8166809082031;196;100;2648;0;2;0;0;2;2;0;1;0;0;0;345,88235294117646
230,68333435058594;162,89999389648437;-310;490;0;0;0;2;2;2;0;1;0;0;0;232,7142769949777
288,04998779296875;200,10000610351562;450;1370;0;0;0;2;2;2;0;0;0;0;0;307,84616323617786
265,5;178,3000030517578;-910;1470;0;1;0;3;2;2;1;0;0;0;0;281,52632060803865
351,8333435058594;213,39999389648437;1080;2550;1;0;2;0;2;2;1;0;0;0;0;376,5882245232077
241,60000610351562;163;540;1500;0;1;0;4;2;3;0;1;0;0;0;271,6666666666667
246,3000030517578;162;535;1670;0;1;1;1;2;3;0;1;0;0;0;262,7027027027027
287,8500061035156;200,60000610351562;-30;240;0;0;0;0;2;3;1;0;0;0;0;300,90000915527344
388,0333251953125;218,89999389648437;370;3105;0;2;1;0;2;3;0;0;1;0;0;364,83332316080725
296;188,3000030517578;210;2760;0;2;1;0;2;3;0;0;0;1;0;322,8000052315848
260,95001220703125;175;-410;560;0;0;1;0;2;3;0;1;0;0;1;276,3157894736842
193,93333435058594;134,5;220;390;0;0;0;3;1;1;0;0;1;1;0;201,75
333,2166748046875;233,1999969482422;-180;620;0;0;0;2;1;1;0;0;0;1;0;349,7999954223633
407,0666809082031;240,60000610351562;560;910;0;0;0;2;1;1;0;0;0;0;0;370,1538555438702
309,8166809082031;236,5;-680;410;0;0;0;0;1;1;0;0;0;0;0;354,75
282,1166687011719;185,6999969482422;0;1600;0;0;3;0;1;1;0;0;1;0;0;285,69230299729566
194,8333282470703;140,1999969482422;-105;680;0;0;0;2;1;2;0;0;0;1;0;205,17072724133
395,73333740234375;229,5;1020;2360;0;0;0;1;1;2;1;0;0;0;0;372,16216216216213
191,73333740234375;111;1190;2280;0;0;2;0;1;2;0;1;0;0;0;180
317,6166687011719;219;-940;250;0;0;0;0;1;2;0;1;1;0;0;328,5
340,0833435058594;219,5;-630;1560;0;2;0;0;1;3;1;0;0;1;0;337,69230769230774
326,9333190917969;186,60000610351562;1080;2100;1;1;0;0;1;3;1;0;0;0;0;302,5946044921875
246;152;540;2000;0;1;2;2;1;3;0;1;0;0;0;240
191,6999969482422;137,3000030517578;-130;270;0;0;0;0;1;3;0;1;1;0;0;196,14286150251115
361,45001220703125;212,6999969482422;0;3580;0;2;3;0;1;3;0;0;0;1;0;354,49999491373694
285,0833435058594;169,60000610351562;-230;300;0;0;0;1;1;3;0;1;0;0;1;267,78948332134047
